"GEO_ID","NAME","P003001","P003002","P003003","P003004","P003005","P003006","P003007","P003008"
"id","Geographic Area Name","Total","Total!!White alone","Total!!Black or African American alone","Total!!American Indian and Alaska Native alone","Total!!Asian alone","Total!!Native Hawaiian and Other Pacific Islander alone","Total!!Some Other Race alone","Total!!Two or More Races"
"1600000US0462280","St. David CDP, Arizona","1699","1565","7","18","10","1","49","49"
"1600000US0462362","St. Johns CDP, Arizona","476","14","1","452","0","0","3","6"
"1600000US0462420","St. Michaels CDP, Arizona","1443","113","3","1272","3","1","4","47"
"1600000US0462700","Salome CDP, Arizona","1530","1356","8","5","6","3","125","27"
"1600000US0462910","San Carlos CDP, Arizona","4038","71","3","3924","0","0","6","34"
"1600000US0463050","Sanders CDP, Arizona","630","143","1","450","3","1","5","27"
"1600000US0463260","San Jose CDP, Arizona","506","384","0","3","0","0","110","9"
"1600000US0610074","Cambria CDP, California","6032","5166","18","47","78","14","557","152"
"1600000US0610042","Camanche North Shore CDP, California","979","860","3","14","12","3","38","49"
"1600000US0610044","Camanche Village CDP, California","847","762","0","9","8","4","31","33"
"1600000US0610046","Camarillo city, California","65201","48947","1216","397","6633","116","4774","3118"
"1600000US0610088","Cambrian Park CDP, California","3282","2598","26","29","221","19","190","199"
"1600000US0610256","Cameron Park CDP, California","18228","16242","143","194","425","36","461","727"
"1600000US0610270","Camino CDP, California","1750","1604","7","14","18","4","55","48"
"1600000US0610301","Camino Tassajara CDP, California","2197","876","53","4","1117","1","33","113"
"1600000US0610345","Campbell city, California","39349","26315","1158","275","6320","161","2713","2407"
"1600000US0610494","Camp Nelson CDP, California","97","94","0","0","0","0","2","1"
"1600000US0610508","Campo CDP, California","2684","2083","114","90","31","6","248","112"
"1600000US0610559","Camp Pendleton North CDP, California","5200","3730","501","83","151","80","305","350"
"1600000US0610816","Cantua Creek CDP, California","466","244","5","3","1","0","199","14"
"1600000US0610561","Camp Pendleton South CDP, California","10616","7530","992","146","299","41","725","883"
"1600000US0610676","Camptonville CDP, California","158","117","0","15","2","0","4","20"
"1600000US0610732","Canby CDP, California","315","292","2","7","1","0","9","4"
"1600000US0610914","Canyondam CDP, California","31","26","0","3","2","0","0","0"
"1600000US0610928","Canyon Lake city, California","10561","9495","128","61","190","36","316","335"
"1600000US0611040","Capitola city, California","9918","7963","123","59","424","10","869","470"
"1600000US0611166","Caribou CDP, California","0","0","0","0","0","0","0","0"
"1600000US0611194","Carlsbad city, California","105328","87205","1379","514","7460","198","4189","4383"
"1600000US0611250","Carmel-by-the-Sea city, California","3722","3464","11","8","111","6","45","77"
"1600000US0611324","Carmel Valley Village CDP, California","4407","4044","21","22","70","11","120","119"
"1600000US0611446","Carpinteria city, California","13040","9348","109","144","296","15","2599","529"
"1600000US0611376","Carmet CDP, California","47","43","0","0","1","0","0","3"
"1600000US0611390","Carmichael CDP, California","61762","49776","2972","546","2653","287","2035","3493"
"1600000US0611418","Carnelian Bay CDP, California","524","493","1","4","14","0","1","11"
"1600000US0611481","Carrick CDP, California","131","110","7","2","2","0","1","9"
"1600000US0611530","Carson city, California","91714","21864","21856","518","23522","2386","17151","4417"
"1600000US0611600","Cartago CDP, California","92","63","0","7","0","0","11","11"
"1600000US0611614","Caruthers CDP, California","2497","1224","14","38","221","0","904","96"
"1600000US3671267","Stewart Manor village, New York","1896","1715","47","0","91","3","13","27"
"1600000US3671322","Stillwater village, New York","1738","1683","7","2","6","0","8","32"
"1600000US3671597","Stone Ridge CDP, New York","1173","1079","16","3","28","1","4","42"
"1600000US3671608","Stony Brook CDP, New York","13740","12171","229","11","1033","6","103","187"
"1600000US3771220","Washington city, North Carolina","9744","4778","4433","22","51","8","303","149"
"1600000US3771240","Washington Park town, North Carolina","451","436","12","2","0","0","0","1"
"1600000US3771320","Watha town, North Carolina","190","161","15","1","0","0","10","3"
"1600000US3771440","Waves CDP, North Carolina","134","126","0","0","0","0","4","4"
"1600000US3771460","Waxhaw town, North Carolina","9859","8090","1106","14","201","4","158","286"
"1600000US3771500","Waynesville town, North Carolina","9869","9117","233","60","38","6","289","126"
"1600000US3771760","Welcome CDP, North Carolina","4162","3837","152","9","58","1","61","44"
"1600000US3771560","Weaverville town, North Carolina","3120","2969","27","1","11","8","19","85"
"1600000US3771600","Webster town, North Carolina","363","344","6","2","0","0","2","9"
"1600000US3771680","Weddington town, North Carolina","9459","8628","366","17","243","0","82","123"
"1600000US3771780","Weldon town, North Carolina","1655","420","1170","5","7","0","6","47"
"1600000US3771860","Wendell town, North Carolina","5845","3395","1768","46","52","0","395","189"
"1600000US3771900","Wentworth town, North Carolina","2807","2317","404","4","9","0","37","36"
"1600000US3771940","Wesley Chapel village, North Carolina","7463","6772","340","12","112","4","109","114"
"1600000US3772150","West Canton CDP, North Carolina","1247","1220","6","5","1","0","10","5"
"1600000US3772540","West Jefferson town, North Carolina","1299","1207","10","3","13","0","44","22"
"1600000US3773160","Whitakers town, North Carolina","744","190","522","2","4","0","8","18"
"1600000US3772600","West Marion CDP, North Carolina","1348","1247","60","6","7","0","14","14"
"1600000US3772755","Westport CDP, North Carolina","4026","3827","108","6","31","0","22","32"
"1600000US3773140","Whispering Pines village, North Carolina","2928","2796","37","6","29","3","18","39"
"1600000US3773300","White Lake town, North Carolina","802","696","42","4","3","0","49","8"
"1600000US3773320","White Oak CDP, North Carolina","338","197","107","1","0","0","31","2"
"1600000US3773460","White Plains CDP, North Carolina","1074","1010","11","9","5","0","30","9"
"1600000US3773660","Whiteville city, North Carolina","5394","2872","2209","68","41","3","109","92"
"1600000US3773760","Whitsett town, North Carolina","590","537","40","0","0","0","11","2"
"1600000US3774020","Wilkesboro town, North Carolina","3413","2782","305","6","101","4","136","79"
"1600000US3774580","Wilson's Mills town, North Carolina","2277","1297","698","17","8","0","206","51"
"1600000US3774220","Williamston town, North Carolina","5511","1907","3441","11","26","5","49","72"
"1600000US3774440","Wilmington city, North Carolina","106476","78286","21158","514","1263","78","2817","2360"
"1600000US3774540","Wilson city, North Carolina","49167","21090","23530","138","594","19","2961","835"
"1600000US3774680","Windsor town, North Carolina","3630","1190","2271","25","71","0","6","67"
"1600000US3774720","Winfall town, North Carolina","594","340","238","2","5","0","3","6"
"1600000US3774760","Wingate town, North Carolina","3491","2115","1004","15","30","3","276","48"
"1600000US3775000","Winston-Salem city, North Carolina","229617","117600","79598","991","4581","182","21093","5572"
"1600000US3775060","Winterville town, North Carolina","9269","5825","2933","31","199","3","102","176"
"1600000US3775375","Woodlawn CDP, North Carolina","900","675","167","7","3","0","26","22"
"1600000US3775280","Woodfin town, North Carolina","6123","5346","297","34","58","3","234","151"
"1600000US3775080","Winton town, North Carolina","769","199","539","18","0","0","2","11"
"1600000US3775340","Woodland town, North Carolina","809","398","382","6","4","0","11","8"
"1600000US3775780","Wrightsboro CDP, North Carolina","4896","2934","1647","41","18","8","129","119"
"1600000US3775820","Wrightsville Beach town, North Carolina","2477","2425","8","4","16","0","8","16"
"1600000US3775960","Yadkinville town, North Carolina","2959","2192","206","4","10","1","508","38"
"1600000US3776000","Yanceyville town, North Carolina","2039","800","1110","11","8","2","32","76"
"1600000US3776200","Youngsville town, North Carolina","1157","802","290","4","9","0","33","19"
"1600000US3776220","Zebulon town, North Carolina","4433","2099","1713","22","46","1","393","159"
"1600000US3800940","Alamo city, North Dakota","57","49","0","0","0","0","7","1"
"1600000US3801740","Alsen city, North Dakota","35","35","0","0","0","0","0","0"
"1600000US3802860","Ardoch city, North Dakota","67","61","0","0","0","0","4","2"
"1600000US3804020","Ayr city, North Dakota","17","17","0","0","0","0","0","0"
"1600000US3800100","Abercrombie city, North Dakota","263","259","1","2","0","0","0","1"
"1600000US3800340","Adams city, North Dakota","127","121","0","0","0","0","5","1"
"1600000US3803540","Ashley city, North Dakota","749","729","1","1","5","0","0","13"
"1600000US3801180","Alexander city, North Dakota","223","204","4","11","0","0","1","3"
"1600000US3801860","Ambrose city, North Dakota","26","26","0","0","0","0","0","0"
"1600000US3802380","Aneta city, North Dakota","222","215","0","2","0","0","0","5"
"1600000US3803220","Arnegard city, North Dakota","115","112","0","1","0","0","0","2"
"1600000US3801420","Alice city, North Dakota","40","40","0","0","0","0","0","0"
"1600000US3936232","Hooven CDP, Ohio","534","495","6","10","0","0","10","13"
"1600000US3936260","Hopedale village, Ohio","950","922","8","3","3","0","0","14"
"1600000US3936512","Howard CDP, Ohio","242","238","0","1","0","0","0","3"
"1600000US1273675","Valparaiso city, Florida","5036","4260","287","31","183","8","39","228"
"1600000US1273700","Valrico CDP, Florida","35545","28937","3096","99","1396","21","994","1002"
"1600000US1273725","Vamo CDP, Florida","4727","4436","65","14","61","4","73","74"
"1600000US1273900","Venice city, Florida","20748","20185","125","29","154","4","101","150"
"1600000US1273950","Venice Gardens CDP, Florida","7104","6735","64","10","101","1","101","92"
"1600000US1274235","Verona Walk CDP, Florida","1782","1704","21","1","15","1","16","24"
"1600000US1274125","Vernon city, Florida","687","541","98","24","2","1","8","13"
"1600000US1274150","Vero Beach city, Florida","15220","13316","733","44","280","14","566","267"
"1600000US1274200","Vero Beach South CDP, Florida","23092","20538","1221","90","373","8","469","393"
"1600000US1274368","Viera East CDP, Florida","10757","9458","515","19","350","1","121","293"
"1600000US1274370","Viera West CDP, Florida","6641","5657","366","12","311","8","93","194"
"1600000US1274498","Villano Beach CDP, Florida","2678","2573","11","17","27","4","19","27"
"1600000US1274512","Villas CDP, Florida","11569","10195","482","18","169","13","451","241"
"1600000US1274562","Vineyards CDP, Florida","3375","3249","30","3","45","2","14","32"
"1600000US1274575","Virginia Gardens village, Florida","2375","2153","63","1","40","1","67","50"
"1600000US1274625","Wabasso CDP, Florida","609","555","35","1","1","0","13","4"
"1600000US1274635","Wabasso Beach CDP, Florida","1853","1830","3","0","12","0","2","6"
"1600000US1603610","Ashton city, Idaho","1127","958","1","4","0","3","137","24"
"1600000US1604600","Banks CDP, Idaho","17","17","0","0","0","0","0","0"
"1600000US1605230","Basalt city, Idaho","394","357","0","3","0","0","27","7"
"1600000US1606220","Bellevue city, Idaho","2287","1839","6","9","10","1","379","43"
"1600000US1608560","Bloomington city, Idaho","206","183","0","6","5","0","10","2"
"1600000US1606670","Bennington CDP, Idaho","190","186","0","4","0","0","0","0"
"1600000US1607840","Blackfoot city, Idaho","11899","9893","40","418","125","18","1077","328"
"1600000US1608470","Bliss city, Idaho","318","230","0","1","7","0","75","5"
